Legislator Name,Chamber,District,Party,SB 2095 (2022),HB 1158 (2023),SB 2857 (2024),HB 611 (2025),SB 2748 (2025),HB 895 (2026),HB 1152 (2026),HB 1034 (2026),HB 513 (2026),Score,Grade,Classification,Historical Vote Score,Summary,Contact Link,Eligible Weight,Publish?,Slug,Featured?
Jimmy Fondren,House,111,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Jimmy Fondren supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jimmy Fondren,125,Yes,jimmy-fondren,No
John Read,House,112,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,John Read supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,John Read,155,Yes,john-read,No
Henry Zuber III,House,113,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Henry Zuber III supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Henry Zuber III,155,Yes,henry-zuber-iii,No
Jeffrey Guice,House,114,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Jeffrey Guice supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jeffrey Guice,155,Yes,jeffrey-guice,No
Zachary Grady,House,115,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Zachary Grady supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Zachary Grady,125,Yes,zachary-grady,No
Casey Eure,House,116,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Casey Eure supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Casey Eure,155,Yes,casey-eure,No
Kevin Felsher,House,117,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Kevin Felsher supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Kevin Felsher,155,Yes,kevin-felsher,No
Greg Haney,House,118,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,ABSENT,SUPPORT,SUPPORT,74,C,Mixed / Persuadable,115,Greg Haney has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Greg Haney,155,Yes,greg-haney,No
Jeffrey Hulum III,House,119,Democrat,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,140,Jeffrey Hulum III supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jeffrey Hulum III,140,Yes,jeffrey-hulum-iii,No
Richard Bennett,House,120,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Richard Bennett supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Richard Bennett,155,Yes,richard-bennett,No
Carolyn Crawford,House,121,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,OPPOSE,OPPOSE,SUPPORT,SUPPORT,48,D,Weak / Inconsistent,75,Carolyn Crawford has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Carolyn Crawford,155,Yes,carolyn-crawford,No
Brent Anderson,House,122,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Brent Anderson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Brent Anderson,155,Yes,brent-anderson,No
